ACCESSION,NAME,TAXONOMY,ORIGIN,REPOSITORY,IMAGE,AVAILABILITY,RECEIVED,SOURCE TYPE,SOURCE DATE,COLLECTION SITE,COORDINATES,ELEVATION,HABITAT,IMPROVEMENT STATUS,NARRATIVE,NA,Var.18,Genus,Rank,Infraspecific,Species,Taxon
PI 504395,D-S 146,Lupinus leucophyllus Douglas ex Lindl.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"Hwy 20, 30km E of Tonasket, Okanagan County, Washinton.",,,,WILD,,1399331,PI 504395,Lupinus,,,Lupinus leucophyllus,Lupinus leucophyllus  
PI 504396,D-S 156,Lupinus leucophyllus Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Near Mitchell Creek summit, 30km S of junction of Hwy 19 and Hwy 207.",,1100,,WILD,,1399332,PI 504396,Lupinus,,,Lupinus leucophyllus,Lupinus leucophyllus  
PI 504397,D-S 158,Lupinus leucophyllus Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Hwy 19, Gwendelyn, S of Arlington, Sherman County, Oregon.",,,,WILD,,1399333,PI 504397,Lupinus,,,Lupinus leucophyllus,Lupinus leucophyllus  
PI 504398,D-S 171,Lupinus leucophyllus Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Hwy 395, 32km S of Pilot Rock, Umatilla County, Oregon.",,,,WILD,,1399334,PI 504398,Lupinus,,,Lupinus leucophyllus,Lupinus leucophyllus  
PI 504399,D-S 172,Lupinus leucophyllus Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Hwy 11, junction of McIntire Rd at Isiation, Umatilla County, Oregon.",,,,WILD,,1399335,PI 504399,Lupinus,,,Lupinus leucophyllus,Lupinus leucophyllus  
PI 504401,D-S 100,Lupinus littoralis Douglas,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"In saltwater spray, shoreline of Puget Sound, Anacortis, Skaget County, Washington.",,,,WILD,Plants shrubby. Flowers yellow. Mature seed pods black. Salt tolerant.,1399337,PI 504401,Lupinus,,,Lupinus littoralis,Lupinus littoralis  
PI 504402,D-S 174,Lupinus polyphyllus Lindl.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"Between Twisp and Okanagan, 12km on Loup Loup Rd from Hwy 20, Okanagan County, Washington.",,,,WILD,,1399338,PI 504402,Lupinus,,,Lupinus polyphyllus,Lupinus polyphyllus  
PI 504403,D-S 175,Lupinus polyphyllus Lindl.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"Hwy 20, 29km E of Tonasket, Okanagan County, Washington.",,,,WILD,,1399339,PI 504403,Lupinus,,,Lupinus polyphyllus,Lupinus polyphyllus  
PI 504404,D-S 176,Lupinus polyphyllus Lindl.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"Between Twisp and Okanagan, 18km on Loup Loup Rd from Hwy 20, Okanagan County, Washington.",,,,WILD,,1399340,PI 504404,Lupinus,,,Lupinus polyphyllus,Lupinus polyphyllus  
PI 504412,D-S 113,Lupinus polyphyllus Lindl. var. burkei (S. Watson) C. L. Hitchc.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"Between Twisp and Okanagan, 10km on Loup Loup Rd from Hwy 20, Okanagan County, Washington.",,,,WILD,,1399348,PI 504412,Lupinus,Var.,burkei,Lupinus polyphyllus,Lupinus polyphyllus var. burkei
PI 504413,D-S 138,Lupinus polyphyllus Lindl. var. burkei (S. Watson) C. L. Hitchc.,"Washington, United States",W6,,Add to cart,1986,COLLECTED,9/1/1983,"Interstate Hwy 5, Exit 48, Cowlitz County, Washington.",,,,WILD,,1399349,PI 504413,Lupinus,Var.,burkei,Lupinus polyphyllus,Lupinus polyphyllus var. burkei
PI 504415,D-S 140,Lupinus polyphyllus Lindl.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,8/31/1983,"In water, bank of Deschutes River, Mt. Batchelor Rd, West of Bend, Deschutes County, Oregon.",,,,WILD,,1399351,PI 504415,Lupinus,,,Lupinus polyphyllus,Lupinus polyphyllus  
PI 504423,D-S 189,Lupinus sericeus Pursh,"Washington, United States",W6,,Add to cart,1986,COLLECTED,7/15/1983,,,,,WILD,,1399359,PI 504423,Lupinus,,,Lupinus sericeus,Lupinus sericeus  
PI 504427,D-S 155,Lupinus sericeus Pursh,"Washington, United States",W6,,Add to cart,1986,COLLECTED,9/6/1983,"Hwy 129, 5km S of Anatone, Asotin County, Washington.",,,,WILD,,1399363,PI 504427,Lupinus,,,Lupinus sericeus,Lupinus sericeus  
PI 504434,Dry ground lupine,Lupinus lepidus Douglas ex Lindl. var. aridus (Douglas) Jeps.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/6/1983,"Hwy 244, 10km E of Ukiah, Umatilla County, Oregon.",,,,WILD,Low growing mat type.,1399370,PI 504434,Lupinus,Var.,aridus,Lupinus lepidus,Lupinus lepidus var. aridus
PI 504435,Mat lupine or Dry ground lupine,Lupinus lepidus Douglas ex Lindl. var. aridus (Douglas) Jeps.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/6/1983,"Hwy 26, between Mitchell and Prineville, Crook County, Oregon.",,,,WILD,Low growing mat type.,1399371,PI 504435,Lupinus,Var.,aridus,Lupinus lepidus,Lupinus lepidus var. aridus
PI 504436,Mat lupine,Lupinus lepidus Douglas ex Lindl. var. aridus (Douglas) Jeps.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Hwy 207, 4km N of Mitchell, Wheeler County, Oregon.",,,,WILD,,1399372,PI 504436,Lupinus,Var.,aridus,Lupinus lepidus,Lupinus lepidus var. aridus
PI 504437,Dry ground lupine,Lupinus lepidus Douglas ex Lindl. var. aridus (Douglas) Jeps.,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"Hwy 395, Ukiah, Umatilla County, Oregon.",,,,WILD,Mound type.,1399373,PI 504437,Lupinus,Var.,aridus,Lupinus lepidus,Lupinus lepidus var. aridus
PI 504439,D-S 106,Lupinus lepidus Douglas ex Lindl. var. lepidus,"Oregon, United States",W6,,Add to cart,1986,COLLECTED,7/25/1983,"U.S. Forest Service Road, 17km from Ukiah to Heppner, Morrow County, Oregon.",,,,WILD,Small mat lupine.,1399375,PI 504439,Lupinus,Var.,lepidus,Lupinus lepidus,Lupinus lepidus var. lepidus
PI 511812,SNLL-87,Lupinus angustifolius L.,"Georgia, United States",W6,,Add to cart,1987,DONATED,9/18/1987,,,,,BREEDING,"Plants valuable for grazing, have resistance to seed shattering. Flowers white. No purple pigments in vegetative parts. Seeds white, soft, high in protein. Resistant to gray leaf spot and anthracnose.",1406748,PI 511812,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 537713,'BLANCO',Lupinus angustifolius L.,"Georgia, United States",W6,,Add to cart,1990,DONATED,3/1/1990,,,,,CULTIVAR,Forage cultivar with good late wintering and early spring grazing in Georgia and Northern Florida and sweet taste. Flowers and seed coats white. Stem and leaves bright green without purple pigment (characteristic of bitter lupine).,1432649,PI 537713,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 577285,XDL-900008,Lupinus arizonicus (S. Watson) S. Watson,United States,W6,,Add to cart,1990,COLLECTED,,,,,,WILD,Herbaceous plants with palmately compound leaves. Flowers rose pink to purple. Bloomning January to May.,1472256,PI 577285,Lupinus,,,Lupinus arizonicus,Lupinus arizonicus  
PI 577286,XDL-890302,Lupinus argenteus Pursh var. palmeri (S. Watson) Barneby,"Arizona, United States",W6,,Add to cart,1990,COLLECTED,9/19/1989,"Mt. Lemmon Highway, adjucent to the Loma Linda picnic area, Santa Catalina Mountains, Pima County, Arizona.",,2432,,WILD,"Plants suffrutescent with palmate leaves. Stems, leaves and pods fuzzy. Flowers purple, blooming April to October. Growing in pine forest with Pinus ponderosa, Ceanothus fendleri and grasses. Pods readily dehiscent. Abundant in sunny areas.",1472257,PI 577286,Lupinus,Var.,palmeri,Lupinus argenteus,Lupinus argenteus var. palmeri
PI 577287,XDL-900333,Lupinus polyphyllus Lindl.,United States,W6,,Add to cart,1990,COLLECTED,,,,,,WILD,Herbs with digitately palmate leaves.,1472258,PI 577287,Lupinus,,,Lupinus polyphyllus,Lupinus polyphyllus  
PI 577289,XDL-900240,Lupinus sparsiflorus Benth.,"Arizona, United States",W6,,Add to cart,1990,COLLECTED,4/22/1990,"West end of Aravaipa Canyon, Pinal County, Arizona",,,,WILD,"Locally common herbaceous spring wild flower. Plant height 5.5m. Leaves palmate with fuzzy leaflets. Flowers blue-purple in terminal racemes, occasionally white. Blooming February to May. Explosively dehiscent pods.",1472260,PI 577289,Lupinus,,,Lupinus sparsiflorus,Lupinus sparsiflorus  
PI 577290,XDL-900007,Lupinus succulentus Douglas ex K. Koch,United States,W6,,Add to cart,1990,COLLECTED,,,,,,WILD,"Herbaceous. Leaves palmately compound, thickened. Flowers blue-violet. Blooming March to April.",1472261,PI 577290,Lupinus,,,Lupinus succulentus,Lupinus succulentus  
PI 587203,'2085',Lupinus albus L.,United States,W6,,Add to cart,1995,DEVELOPED,PRE 1995,,,,,CULTIVAR,,1488691,PI 587203,Lupinus,,,Lupinus albus,Lupinus albus  
PI 594916,'HOPE',Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1971,DONATED,1971,,,,,CULTIVAR,,1118348,PI 594916,Lupinus,,,Lupinus albus,Lupinus albus  
PI 602372,W6 15604,Lupinus  sp.,"California, United States",W6,,Add to cart,1994,COLLECTED,,,,,,WILD,,1072532,PI 602372,Lupinus,,,Lupinus sp.,Lupinus sp.  
PI 602373,W6 15606,Lupinus microcarpus Sims var. densiflorus (Benth.) Jeps.,"California, United States",W6,,Add to cart,1994,COLLECTED,1985,Near the north fork of Keweah River east of Visalia.,"36.31666667, -119.28333333",,,WILD,Flowers white.,1072544,PI 602373,Lupinus,Var.,densiflorus,Lupinus microcarpus,Lupinus microcarpus var. densiflorus
PI 602374,L-472,Lupinus stiversii Kellogg,"California, United States",W6,,Add to cart,1994,COLLECTED,1985,"On Auberry Road, near Auberry.","37.06666667, -119.48333333",1520,Next to granite outcroppings and decomposed granite.,WILD,,1072568,PI 602374,Lupinus,,,Lupinus stiversii,Lupinus stiversii  
PI 602376,W6 15617,Lupinus microcarpus Sims var. densiflorus (Benth.) Jeps.,"California, United States",W6,,Add to cart,1994,COLLECTED,1985,Near north fork of Keweah River east of Visalia.,"36.31666667, -119.28333333",,,WILD,Flowers magenta.,1072608,PI 602376,Lupinus,Var.,densiflorus,Lupinus microcarpus,Lupinus microcarpus var. densiflorus
PI 604504,W6 17259,Lupinus variicolor Steud.,"California, United States",W6,,Add to cart,1995,DONATED,Jun-89,,,,,WILD,,1496964,PI 604504,Lupinus,,,Lupinus variicolor,Lupinus variicolor  
PI 606481,LINE NO 10,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,UNCERTAIN,,1111106,PI 606481,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615395,GIANT KING W-F FORMULA BLEND,Lupinus mexicanus Cerv. ex Lag.,"California, United States",W6,,Add to cart,1962,DONATED,1962,,,,,CULTIVAR,,1072012,PI 615395,Lupinus,,,Lupinus mexicanus,Lupinus mexicanus  
PI 615398,GIANT KING SKY BLUE,Lupinus mexicanus Cerv. ex Lag.,"California, United States",W6,,Add to cart,1962,DONATED,1962,,,,,CULTIVAR,,1072029,PI 615398,Lupinus,,,Lupinus mexicanus,Lupinus mexicanus  
PI 615399,GIANT KING WHITE,Lupinus mexicanus Cerv. ex Lag.,"California, United States",W6,,Add to cart,1962,DONATED,1962,,,,,CULTIVAR,,1072032,PI 615399,Lupinus,,,Lupinus mexicanus,Lupinus mexicanus  
PI 615400,RITCHEY,Lupinus angustifolius L.,"Florida, United States",W6,,Add to cart,1963,DONATED,1963,,,,,CULTIVAR,,1093079,PI 615400,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 615401,LINE NO 2,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111100,PI 615401,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615402,LINE NO 3,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111101,PI 615402,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615403,LINE NO 5,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111102,PI 615403,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615404,LINE NO 6,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111103,PI 615404,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615405,LINE NO 7,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111104,PI 615405,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615406,LINE NO 8,Lupinus albus L.,"Arkansas, United States",W6,,Add to cart,1967,DONATED,1967,,,,,CULTIVATED,,1111105,PI 615406,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615407,'FROST',Lupinus angustifolius L.,"Florida, United States",W6,,Add to cart,1969,DONATED,1969,,,,,CULTIVAR,,1116393,PI 615407,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 615408,'TIFBLUE-78',Lupinus angustifolius L.,"Georgia, United States",W6,,Add to cart,1980,DONATED,1980,,,,,CULTIVAR,,1129433,PI 615408,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 615409,'TIFWHITE-78',Lupinus albus L.,"Georgia, United States",W6,,Add to cart,1980,DONATED,1980,,,,,CULTIVAR,,1129434,PI 615409,Lupinus,,,Lupinus albus,Lupinus albus  
PI 615410,WH-1,Lupinus angustifolius L.,"Georgia, United States",W6,,Add to cart,1981,DONATED,1981,,,,,BREEDING,,1131524,PI 615410,Lupinus,,,Lupinus angustifolius,Lupinus angustifolius  
PI 615411,BICOLOR-1,Lupinus hispanicus Boiss. & Reut.,"Georgia, United States",W6,,Add to cart,1982,DONATED,1982,,,,,BREEDING,,1143205,PI 615411,Lupinus,,,Lupinus hispanicus,Lupinus hispanicus  
PI 660700,SS-2807,Lupinus rivularis Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1995,COLLECTED,6/13/1992,Tillamook County.  Along Highway 101 south of Tillamook about 7 miles in roadside ditch. Stop 2.,"45.36666667, -123.83333333",0,L. polyphyllus patch across the road.,WILD,Plants tall and very branched with lateral inflorescences; pubescence white.,1484083,PI 660700,Lupinus,,,Lupinus rivularis,Lupinus rivularis  
PI 660701,SS-2808,Lupinus rivularis Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,1995,COLLECTED,6/13/1992,Tillamook County.  Along Highway 101 north of Neskowin about 6 miles at Little Nestucca River crossing. Stop 3.,"45.13333333, -123.96666667",0,,WILD,"Plants 3+ feet high, very branched with lateral inflorescences; pubescence white.",1484084,PI 660701,Lupinus,,,Lupinus rivularis,Lupinus rivularis  
PI 660720,W6 22276,Lupinus rivularis Douglas ex Lindl.,"Oregon, United States",W6,,Add to cart,2000,COLLECTED,6/30/1998,"Cornell Switch downtown Corvallis, Oregon near 99W by Willamette Railroad, third street overpass.",,,,WILD,,1595109,PI 660720,Lupinus,,,Lupinus rivularis,Lupinus rivularis  
PI 660723,'PMR 182',Lupinus albus L.,"Alabama, United States",W6,,Add to cart,2003,DONATED,3-Dec,,,,,CULTIVAR,,1650112,PI 660723,Lupinus,,,Lupinus albus,Lupinus albus  
W6 15613,W6 15613,Lupinus elegans Kunth,"California, United States",W6,,Add to cart,1994,DONATED,5/23/1994,,,,,UNCERTAIN,,1072584,W6 15613,Lupinus,,,Lupinus elegans,Lupinus elegans  
W6 15614,W6 15614,Lupinus pilosus L.,"California, United States",W6,,Add to cart,1994,DONATED,5/23/1994,,,,,UNCERTAIN,,1072591,W6 15614,Lupinus,,,Lupinus pilosus,Lupinus pilosus  
W6 30795,OR110-048,Lupinus bicolor Lindl.,"Oregon, United States",W6,,Add to cart,2007,COLLECTED,6/15/2005,"Ecoregion 78A. Old Highway 99, city land across from oak tree furniture. 36 10W NE Quadrant.","42.34472000, -122.88500000",393,,WILD,"Forb, Height about: 0.3 m",1727127,W6 30795,Lupinus,,,Lupinus bicolor,Lupinus bicolor  
W6 32670,OR-11005-35,Lupinus microcarpus Sims,"California, United States",W6,,Add to cart,2007,COLLECTED,PRE 10/26/2007,,,,,WILD,,1740407,W6 32670,Lupinus,,,Lupinus microcarpus,Lupinus microcarpus  
W6 36873,OR110-134,Lupinus albicaulis Douglas,"Oregon, United States",W6,,Add to cart,2009,COLLECTED,2009,,,,,WILD,,1827184,W6 36873,Lupinus,,,Lupinus albicaulis,Lupinus albicaulis  
W6 36874,OR110-148,Lupinus microcarpus Sims var. microcarpus,"Oregon, United States",W6,,Add to cart,2009,COLLECTED,2009,,,,,WILD,,1827239,W6 36874,Lupinus,Var.,microcarpus,Lupinus microcarpus,Lupinus microcarpus var. microcarpus
W6 37479,AZ930-278,Lupinus sparsiflorus Benth.,"Arizona, United States",W6,,Add to cart,2010,COLLECTED,NEAR 2009,,"34.26636111, -112.09305560",,,WILD,,1833611,W6 37479,Lupinus,,,Lupinus sparsiflorus,Lupinus sparsiflorus  
W6 39652,PSSL-6,Lupinus arbustus Douglas ex Lindl.,"Nevada, United States",W6,,Add to cart,2010,COLLECTED,NEAR 2009,,"41.19850000, -114.96511110",,,WILD,,1849526,W6 39652,Lupinus,,,Lupinus arbustus,Lupinus arbustus  
W6 39654,WY040-44,Lupinus argenteus Pursh,"Wyoming, United States",W6,,Add to cart,2010,COLLECTED,NEAR 2009,,"41.15203611, -109.21292500",,,WILD,,1849528,W6 39654,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 39663,PSSL-18,Lupinus polyphyllus Lindl. var. prunophilus (M. E. Jones) L. Ll. Phillips,"Utah, United States",W6,,Add to cart,2010,COLLECTED,NEAR 2009,,"39.95472000, -112.36861000",,,WILD,,1849537,W6 39663,Lupinus,Var.,prunophilus,Lupinus polyphyllus,Lupinus polyphyllus var. prunophilus
W6 40227,CA190B-14,Lupinus arboreus Sims,"California, United States",W6,,Add to cart,2011,COLLECTED,1/1/2011,,"36.62388889, -121.73972220",,,WILD,,1856030,W6 40227,Lupinus,,,Lupinus arboreus,Lupinus arboreus  
W6 40228,NV040-74,Lupinus argenteus Pursh,"Nevada, United States",W6,,Add to cart,2011,COLLECTED,1/1/2011,,"37.43577778, -114.68227780",,,WILD,,1856031,W6 40228,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 40230,CA370-109,Lupinus nevadensis A. Heller,"Nevada, United States",W6,,Add to cart,2011,COLLECTED,1/1/2011,,"41.84651889, -119.81493360",,,WILD,,1856033,W6 40230,Lupinus,,,Lupinus nevadensis,Lupinus nevadensis  
W6 40517,OR020-105,Lupinus sulphureus Douglas subsp. kincaidii (C. P. Sm.) L. Ll. Phillips,"Oregon, United States",W6,,Contact Site,2011,COLLECTED,PRE 2011,,"42.46870000, -118.26931000",,,WILD,,1861275,W6 40517,Lupinus,Subsp.,kincaidii,Lupinus sulphureus,Lupinus sulphureus subsp. kincaidii
W6 40518,CA190B-7,Lupinus nanus Douglas ex Benth.,"California, United States",W6,,Add to cart,2011,COLLECTED,PRE 2011,,"36.59916667, -121.74138890",,.,WILD,,1861276,W6 40518,Lupinus,,,Lupinus nanus,Lupinus nanus  
W6 40519,CA320-78,Lupinus microcarpus Sims var. microcarpus,"California, United States",W6,,Add to cart,2011,COLLECTED,PRE 2011,,"41.15561111, -120.53441670",,.,WILD,,1861277,W6 40519,Lupinus,Var.,microcarpus,Lupinus microcarpus,Lupinus microcarpus var. microcarpus
W6 40810,CP1-010,Lupinus argenteus Pursh,"Arizona, United States",W6,,Add to cart,2011,COLLECTED,PRE 03/2011,,"35.08144444, -111.60075000",,,WILD,,1865264,W6 40810,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 40811,CP1-012,Lupinus argenteus Pursh,"Arizona, United States",W6,,Add to cart,2011,COLLECTED,PRE 03/2011,,"35.14808333, -111.73833330",,,WILD,,1865265,W6 40811,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 40813,CP1-011,Lupinus kingii S. Watson,"Arizona, United States",W6,,Add to cart,2011,COLLECTED,PRE 03/2011,,"35.14808333, -111.73833330",,,WILD,,1865267,W6 40813,Lupinus,,,Lupinus kingii,Lupinus kingii  
W6 43848,WY080-02,Lupinus argenteus Pursh,"South Dakota, United States",W6,,Add to cart,2012,COLLECTED,PRE 2012,,"43.87555000, -104.04138000",,,WILD,,1900235,W6 43848,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 44402,WY040-91,Lupinus pusillus Pursh subsp. intermontanus (A. Heller) D. B. Dunn,"Wyoming, United States",W6,,Add to cart,2012,COLLECTED,2010,,"41.28362000, -109.70138000",,,WILD,,1901197,W6 44402,Lupinus,Subsp.,intermontanus,Lupinus pusillus,Lupinus pusillus subsp. intermontanus
W6 45334,CA330-120,Lupinus bicolor Lindl.,"California, United States",W6,,Add to cart,2012,COLLECTED,2011,,"40.28763000, -124.35810000",,,WILD,,1905758,W6 45334,Lupinus,,,Lupinus bicolor,Lupinus bicolor  
W6 45551,OR030-246,Lupinus argenteus Pursh,"Oregon, United States",W6,,Add to cart,2013,COLLECTED,2011,,"43.87922000, -117.22445000",,,WILD,,1906753,W6 45551,Lupinus,,,Lupinus argenteus,Lupinus argenteus  
W6 47487,OR110-552,Lupinus bicolor Lindl.,"Oregon, United States",W6,,Add to cart,2014,COLLECTED,2010,,"42.43088000, -122.88475000",,,WILD,,1918392,W6 47487,Lupinus,,,Lupinus bicolor,Lupinus bicolor  
W6 47488,OR110-562,Lupinus microcarpus Sims var. microcarpus,"Oregon, United States",W6,,Add to cart,2014,COLLECTED,2010,,"42.33755000, -122.80962000",,,WILD,,1918393,W6 47488,Lupinus,Var.,microcarpus,Lupinus microcarpus,Lupinus microcarpus var. microcarpus
W6 47715,CA170-122,Lupinus andersonii S. Watson,"California, United States",W6,,Add to cart,2014,COLLECTED,2013,,"38.22617000, -119.04870000",,.,WILD,,1919600,W6 47715,Lupinus,,,Lupinus andersonii,Lupinus andersonii  
W6 48386,CA330-140,Lupinus rivularis Douglas ex Lindl.,"California, United States",W6,,Add to cart,2014,COLLECTED,2013,,"40.26238000, -124.35860000",,,WILD,,1921589,W6 48386,Lupinus,,,Lupinus rivularis,Lupinus rivularis  
W6 48763,OR110-619,Lupinus luteolus Kellogg,"Oregon, United States",W6,,Add to cart,2015,COLLECTED,2013,,"42.05453000, -122.60373000",,,WILD,,1922576,W6 48763,Lupinus,,,Lupinus luteolus,Lupinus luteolus  
W6 50260,CA650-57,Lupinus excubitus M. E. Jones,"California, United States",W6,,Add to cart,2015,COLLECTED,4/18/2014,Horse Canyon. From Ridgecrest take CA-178 W approx 14 miles. Turn left onto CA-14 S for 6.4 Miles. Turn right onto CA-178 W for 1.0 miles. Turn left onto LA2 for about 7.5 miles. Turn right onto SC65 (Horse Canyon Road) for 4.4 miles. Park on right side of road. Population is in dry wash on right side of road.,"35.56369000, -118.07145000",1281,,WILD,,1927563,W6 50260,Lupinus,,,Lupinus excubitus,Lupinus excubitus  
GMAL 5265,M. coronaria,Malus coronaria (L.) Mill.,"Massachusetts, United States",GEN,,Add to cart,2017,DONATED,28/11/2017,,,,,,,2120310,GMAL 5265,Malus,,,Malus coronaria,Malus coronaria  
PI 588927,Wynema,Malus coronaria (L.) Mill.,"Illinois, United States",GEN,,Add to cart,1984,DONATED,8/24/1984,,,,,,"Comments: Flower:  4-5 in a cluster, 5 petals, buds are rose pink, expanding buds are pink, flushed with rose. Fruit:  green or yellow with large red or brown-red cheek; 1 7/8"" diameter.",1004796,PI 588927,Malus,,,Malus coronaria,Malus coronaria  
PI 588929,GMAL 258,Malus coronaria (L.) Mill.,"Oregon, United States",GEN,,Add to cart,1984,DONATED,8/29/1984,,,,,,,1004820,PI 588929,Malus,,,Malus coronaria,Malus coronaria  
PI 589005,Matthews,Malus coronaria (L.) Mill.,"New York, United States",GEN,,Add to cart,1985,DONATED,6/24/1985,,,,,,"Comments: Flower:  single; 55 mm; pink.  Fruit:  50 mm; yellow-green,  very oblate shape.  Tree:  vigorous; dense branches and foliage; alternate bearing; tip of leaves lobed.  Yellow green fruits.",1006917,PI 589005,Malus,,,Malus coronaria,Malus coronaria  
PI 589014,Elonga,Malus coronaria (L.) Mill.,"New York, United States",GEN,,Add to cart,1985,DONATED,6/24/1985,,,,,,"Comments: Flowers: light pink, attractive.  Tree:  heavily cropping,  branches spiny; leaves lobed.  Similar to coronaria.",1007039,PI 589014,Malus,,,Malus coronaria,Malus coronaria  
PI 589162,Glabrata,Malus coronaria (L.) Mill.,United States,GEN,,Add to cart,1985,COLLECTED,,North Carolina to Alabama.,,,,,"Comments: Flowers: single; 30 mm; pink changing to white. Fruit:  30 mm; yellow-green; shape oblate.  Tree:  weak growing; very light cropping; leaves lobed, dark greenish red, sparse, early senescence.  Not especially ornamental.",1010681,PI 589162,Malus,,,Malus coronaria,Malus coronaria  
PI 589219,Kola,Malus coronaria (L.) Mill.,"South Dakota, United States",GEN,,Add to cart,1985,DEVELOPED,,,,,,,"Comments: Flowers: single, 40-50 mm wide; pink.  Fruit: size small,  50 mm; skin green, greasy; poor quality.  Tree:  Tetraploid (Nebel, B.R. 1931. Proc. Amer. Soc. Hort. Sci. 27:406-410). Ornamental flowering crab apple.",1012210,PI 589219,Malus,,,Malus coronaria,Malus coronaria  
PI 589332,GMAL 1573,Malus coronaria (L.) Mill.,"New York, United States",GEN,,Add to cart,1986,DONATED,8/4/1986,,,,,,"Comments: Flower: single (some forms double): 40 mm; bright rose as they open then nearly white, fragrant.  Fruit: yellow-green; hard; oblate (depressed at ends) 25 mm; calyx persistent; greasy; sour, inedible.  Tree:  annual bearer; leaves lobed. Pink-white flowers; green, greasy fruits.",1014775,PI 589332,Malus,,,Malus coronaria,Malus coronaria  
PI 589344,Charlottae,Malus coronaria (L.) Mill.,United States,GEN,,Add to cart,1986,COLLECTED,,,,,,,"Flowers: Double (12-18 petals); Expanding buds light pink; open petals pale pink; 48 mm wide; very late blooming; fruit: dark green; 30 mm in diameter; greasy, fruit drops.  Leaves: deeply serrated; early defoliation.  Bark:  Smooth.  Tree: unproductive.",1014895,PI 589344,Malus,,,Malus coronaria,Malus coronaria  
PI 589407,M. coronaria,Malus coronaria (L.) Mill.,"Illinois, United States",GEN,,Add to cart,1986,DONATED,9/2/1986,,,,,,,1016486,PI 589407,Malus,,,Malus coronaria,Malus coronaria  
PI 589423,GMAL 1870,Malus coronaria (L.) Mill.,"Illinois, United States",GEN,,Add to cart,1986,DONATED,9/2/1986,,,,,,,1016628,PI 589423,Malus,,,Malus coronaria,Malus coronaria  
PI 589425,Dasyealyx,Malus coronaria (L.) Mill.,"Illinois, United States",GEN,,Add to cart,1986,DONATED,9/2/1986,,,,,,,1016642,PI 589425,Malus,,,Malus coronaria,Malus coronaria  
PI 589739,GMAL 2323,Malus coronaria (L.) Mill.,"District of Columbia, United States",GEN,,Add to cart,1987,DONATED,8/24/1987,,,,,,,1019632,PI 589739,Malus,,,Malus coronaria,Malus coronaria  
PI 589740,GMAL 2324,Malus coronaria (L.) Mill.,"District of Columbia, United States",GEN,,Add to cart,1987,DONATED,8/24/1987,,,,,,,1019636,PI 589740,Malus,,,Malus coronaria,Malus coronaria  
